player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Jaden Minkins,174710,CB,LOUISVILLE,12,0,0,210,59.9,,,,,,59.9,,,29.7,0,1,0,1,60,25,0,23,2
Carter Schwartz,174713,P,LOUISVILLE,8,0,0,210,,,60.0,,,,61.6,,52.3,68.8,0,0,8,0,0,0,14,0,0
Woo Spencer,174714,DI,SMU,8,0,0,287,58.7,,,,,,60.1,,,67.3,0,0,0,7,0,0,0,4,0
Hayden Travelstead,174715,LS,LOUISVILLE,1,0,0,210,,,60.0,,,66.0,60.0,,,60.8,0,0,1,0,0,0,0,0,0
Aaron Williams,174716,S,UCLA,11,0,0,324,59.6,,,,,,61.2,,,71.1,0,0,0,13,36,0,0,3,1
Chandavian Bradley,174718,ED,OKLA STATE,11,0,0,262,59.8,,,,,,72.2,,,78.3,2,0,0,1,29,36,53,17,3
Cristian Conyer,174720,CB,APP STATE,12,0,0,108,59.3,,,,,,62.6,,,74.9,0,0,0,39,21,3,0,17,0
Max Gilbert,174725,K,TENNESSEE,13,0,0,307,,81.6,,,68.5,,61.9,,,68.9,0,0,83,0,6,0,0,0,0
Caleb Herring,174726,ED,TENNESSEE,13,0,0,307,58.8,,77.9,,,,63.6,,,66.1,0,0,86,31,0,0,0,3,0
Daevin Hobbs,174727,DI,TENNESSEE,8,0,0,307,58.4,,,,,,58.4,,,67.5,0,0,0,19,0,0,0,3,0
Nico Iamaleava,174728,QB,UCLA,1,0,0,324,,,,,,,60.0,,,63.3,0,0,0,0,0,0,0,0,0
Larry Johnson III,174729,T,COLORADO,8,0,0,143,,,70.8,,,,64.2,,,73.3,0,0,30,0,0,0,0,0,0
Khalifa Keith,174730,HB,APP STATE,3,0,0,108,,,,,,,69.1,,,68.0,0,0,0,0,0,16,0,0,0
Nathan Leacock,174732,WR,N CAROLINA,6,0,0,245,,,,,,,63.0,,,72.0,0,0,0,0,0,9,16,0,0
Jack Luttrell,174734,S,ARIZONA,6,0,0,109,60.0,,,,,,62.3,,,66.2,0,0,0,2,23,0,0,1,0
