player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Trevon Adams,155806,T,LINCOK,1,100.0,0,1452,63.3,78.7,54.4,0,1,29,100.0,100.0,98.3,0,1,0,61,0,0,0,61,31,31,0,60,30,0
Louis Thom,154969,T,MITECH,1,100.0,0,980,59.2,49.0,61.4,0,1,35,100.0,100.0,98.6,0,1,0,61,0,0,0,61,35,35,0,61,26,0
Gabe Bollinger,154967,G,MITECH,1,100.0,0,980,56.5,78.5,50.6,0,1,35,100.0,100.0,98.6,0,1,0,61,0,0,0,61,35,35,61,0,26,0
Mark Murphy,153392,T,BOWIE ST,1,100.0,0,365,54.4,69.4,42.7,0,3,40,100.0,100.0,96.2,0,3,0,61,0,0,25,61,43,43,0,36,18,0
Ethan Vlchek,143389,G,FORT LEW,2,100.0,0,873,39.2,20.0,40.5,1,3,33,100.0,100.0,93.9,0,4,0,61,0,61,0,61,34,34,0,0,27,0
Long Ninh,155682,G,VA LYNCHBU,3,100.0,0,406,43.8,8.6,54.0,1,4,36,100.0,100.0,93.1,0,5,0,61,0,9,0,61,39,39,52,0,22,0
Preston Graf,154900,T,MITECH,1,100.0,0,980,67.8,66.2,66.2,0,1,35,100.0,100.0,95.7,0,2,1,61,0,0,61,61,35,35,0,0,26,0
Michael Johnson,152719,C,POINTVILLE,2,100.0,0,393,71.4,72.0,68.5,0,0,35,100.0,100.0,100.0,0,0,0,61,61,0,0,61,35,35,0,0,26,0
Hayden Huttula,154956,C,MITECH,1,100.0,0,980,76.3,65.5,75.0,0,0,35,100.0,100.0,100.0,0,0,0,61,61,0,0,61,35,35,0,0,26,0
Ja'Quon Franks,155319,T,ELIZBTH ST,1,100.0,1,373,63.7,62.6,62.4,0,0,46,100.0,100.0,97.8,1,1,1,60,0,0,60,60,48,48,0,0,12,0
